TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PDTC3;6,13;;13,68;3,70;1,12;35,66;9,83;10,71;14,90;15,41;0,21;0,05;1,47;2,91;-5,72;1,93;27,02;8,22;11,36;0,30;0,70;0,77;173,12;;894.445,86;1,66;0,45;0,03;490.311.118,75
PEAB3;57,44;19,67;2,71;0,90;0,81;82,32;1.487,69;1.079,38;1,97;0,91;-1,20;-0,55;29,29;1,50;-1,79;40,28;33,18;29,69;29,30;0,89;0,11;0,03;-8,83;60,17;12.162,00;63,81;21,17;-0,06;793.119.158,16
PEAB4;66,00;18,83;3,12;1,03;0,93;82,32;1.487,69;1.079,38;2,26;0,91;-1,20;-0,55;33,65;1,72;-2,06;40,28;33,18;29,69;29,30;0,89;0,11;0,03;-8,83;60,17;15.240,75;63,81;21,17;-0,07;793.119.158,16
PETR3;34,15;16,63;3,28;1,20;0,45;51,07;56,06;34,33;2,01;3,12;1,19;0,71;1,13;16,02;-0,55;1,20;36,59;13,86;24,95;0,38;0,61;0,40;-3,29;;655.956.881,69;28,29;10,35;-0,01;425.744.096.741,10
PETR4;31,68;17,95;3,04;1,11;0,42;51,07;56,06;34,33;1,86;3,12;1,19;0,71;1,04;14,85;-0,51;1,20;36,59;13,86;24,95;0,38;0,61;0,40;-3,29;;1.926.173.561,94;28,29;10,35;-0,01;425.744.096.741,10
PETZ3;16,04;0,26;101,88;12,55;3,62;47,65;7,75;3,70;48,67;49,81;0,89;0,23;3,77;102,82;-5,52;1,11;12,32;3,56;15,71;0,29;0,71;0,96;;;97.462.404,53;1,28;0,16;1,97;7.382.666.284,28
PFRM3;4,82;5,63;6,28;0,54;0,16;14,12;2,22;1,53;4,33;7,60;3,25;0,40;0,10;0,65;-0,43;1,60;8,54;2,47;5,16;0,29;0,61;1,61;9,61;;657.830,92;8,97;0,77;0,05;598.015.693,59
PGMN3;8,08;;19,79;1,72;0,60;32,08;5,34;2,44;9,04;10,19;1,14;0,22;0,48;3,44;-1,25;1,51;8,71;3,03;13,36;0,35;0,65;1,24;8,17;42,37;6.862.395,81;4,68;0,41;0,34;3.585.750.980,96
PINE3;0,00;;0,00;0,00;0,00;15,06;-10,08;-5,77;0,00;-1,34;;;0,00;0,00;0,00;0,59;-6,33;-0,33;;0,05;0,95;0,06;4,73;;;5,21;-0,33;0,00;113.950.477,54
PINE4;1,57;;-4,77;0,30;0,02;15,06;-10,08;-5,77;-2,73;-1,34;;;0,27;-0,09;-0,02;0,59;-6,33;-0,33;;0,05;0,95;0,06;4,73;;336.152,56;5,21;-0,33;-0,09;113.950.477,54
PLAS3;10,13;;-1,10;-0,44;0,21;6,33;-8,21;-19,48;-2,62;-6,56;-3,72;;0,21;-0,56;-0,30;0,44;-39,85;-19,14;51,74;-0,48;1,48;0,98;-5,14;;8.744,14;-23,05;-9,18;0,00;136.431.089,64
PLPL3;3,25;6,03;6,16;2,02;0,56;30,86;13,84;12,64;5,63;6,43;0,84;0,30;0,78;0,72;-7,13;6,40;32,86;9,13;15,21;0,28;0,72;0,72;;;2.656.517,36;1,61;0,53;-0,20;659.746.880,00
PMAM3;7,54;;-0,71;-0,42;0,10;0,51;-5,00;-9,00;-1,27;-13,19;-11,92;;0,06;-0,13;-0,16;0,34;-58,95;-13,80;-11,56;-0,23;1,23;1,53;-4,39;;2.702.445,06;-18,06;-10,65;0,01;325.094.829,01
PNVL3;11,89;1,47;22,64;1,74;0,79;30,35;3,26;2,52;17,48;22,30;4,74;0,47;0,57;2,85;-1,90;1,91;7,67;3,50;5,83;0,46;0,54;1,39;7,26;11,75;7.613.801,50;6,85;0,52;0,56;1.794.003.348,33
PNVL4;18,62;0,21;35,48;2,72;1,24;30,35;3,26;2,52;27,40;22,30;4,74;0,47;0,89;4,46;-2,98;1,91;7,67;3,50;5,83;0,46;0,54;1,39;7,26;11,75;83.188,67;6,85;0,52;0,87;1.794.003.348,33
POMO3;2,66;4,02;5,77;0,89;0,39;11,92;8,90;12,65;8,21;12,92;3,81;0,41;0,73;1,48;-0,80;2,05;15,36;6,74;4,65;0,44;0,55;0,53;5,56;38,09;878.042,89;3,00;0,46;0,00;2.797.157.949,60
POMO4;3,13;3,43;6,77;1,04;0,46;11,92;8,90;12,65;9,63;12,92;3,81;0,41;0,86;1,73;-0,94;2,05;15,36;6,74;4,65;0,44;0,55;0,53;5,56;38,09;16.354.632,83;3,00;0,46;0,01;2.797.157.949,60
PORT3;55,23;5,32;16,78;1,91;0,76;51,09;25,13;11,72;7,83;12,41;4,59;1,12;1,97;33,74;-0,89;1,19;11,37;4,52;7,80;0,40;0,60;0,39;1,54;17,96;2.688.937,86;28,98;3,30;0,11;4.023.326.991,20
POSI3;8,21;4,17;3,77;0,98;0,35;23,22;14,67;9,77;2,51;3,26;0,75;0,29;0,37;1,11;-1,87;1,63;25,86;9,25;20,26;0,36;0,64;0,95;3,53;;38.471.377,81;8,37;2,17;0,01;1.155.670.000,00
POWE3;10,49;0,50;23,04;0,95;0,36;6,82;3,52;2,59;16,91;9,92;-6,96;-0,39;0,60;6,33;-0,72;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;5.899.630,00;11,02;0,46;-1,70;939.582.890,88
PPAR3;14,60;;-33,76;0,02;0,02;;;;-8,12;9,28;17,40;-0,05;;0,44;-0,02;2.440,00;-0,07;-0,05;-0,27;0,71;0,29;0,00;;;;663,42;-0,43;0,49;1.080.400,00
PPLA11;5,91;;-792,13;;7,63;;;;-792,13;-792,13;;;;;-7,63;;;-0,96;;0,00;1,00;0,00;;;4.247,81;0,00;-0,01;7,97;16.634.676,06
PRIO3;23,38;;19,11;3,60;1,79;51,57;50,90;30,62;11,49;11,25;-0,28;-0,09;5,85;4,83;-3,42;4,46;18,83;9,36;15,85;0,50;0,50;0,31;49,72;57,52;395.723.531,94;6,44;1,21;0,13;20.530.354.915,10
PRNR3;5,91;0,92;9,26;0,99;0,64;17,45;4,97;6,49;12,08;10,87;-1,19;-0,10;0,60;2,34;-1,47;1,94;10,72;6,91;2,75;0,64;0,36;1,06;;;716.301,31;5,94;0,64;-0,04;228.780.551,16
PSSA3;18,89;13,82;8,61;1,35;0,31;100,00;6,62;6,93;9,02;2,79;-6,25;-0,93;0,60;5,82;-0,88;1,09;15,64;3,61;8,69;0,23;0,77;0,52;3,79;7,21;39.534.613,58;14,03;2,19;-0,61;12.239.874.115,80
PTBL3;8,02;14,19;5,98;3,14;0,53;41,64;15,25;10,89;4,27;6,00;1,78;1,31;0,65;4,28;-0,99;1,36;52,51;8,82;22,08;0,17;0,83;0,81;4,66;30,08;8.582.156,86;2,53;1,33;0,07;1.159.583.465,58
PTCA11;0,00;;0,00;0,00;0,00;45,35;17,45;11,61;0,00;0,92;0,92;0,40;0,00;0,00;0,00;1,70;29,28;11,33;19,04;0,39;0,61;0,98;62,04;115,57;;17,36;5,08;0,00;0,00
PTCA3;0,00;;0,00;0,00;0,00;45,35;17,45;11,61;0,00;0,92;0,92;0,40;0,00;0,00;0,00;1,70;29,28;11,33;19,04;0,39;0,61;0,98;62,04;115,57;;17,36;5,08;0,00;0,00
PTNT3;13,26;1,53;12,80;1,85;0,88;17,42;11,04;6,43;7,45;5,93;1,27;0,32;0,82;4,31;-1,87;1,63;14,49;6,87;12,94;0,47;0,53;1,07;8,13;37,74;203.077,50;7,13;1,03;0,01;396.714.917,20
PTNT4;5,64;3,59;5,46;0,79;0,38;17,42;11,04;6,43;3,18;5,93;1,27;0,32;0,35;1,84;-0,80;1,63;14,49;6,87;12,94;0,47;0,53;1,07;8,13;37,74;126.635,69;7,13;1,03;0,00;396.714.917,20
QUAL3;16,39;12,65;12,22;2,78;0,98;79,64;28,11;18,21;7,92;9,67;1,74;0,61;2,23;-5,80;-1,56;0,69;22,78;8,00;11,21;0,35;0,65;0,44;3,21;10,88;38.988.275,33;5,89;1,34;-3,80;4.657.834.930,00
QUSW3;0,00;;0,00;0,00;0,00;29,85;15,94;8,42;0,00;0,32;0,32;0,12;0,00;0,00;0,00;1,15;20,48;9,95;17,48;0,49;0,51;1,18;15,13;9,77;;67,28;13,78;0,00;0,00
QVQP3B;0,00;;0,00;0,00;0,00;;;;0,00;0,34;0,34;-0,94;;0,00;;;-268,09;-268,09;-272,34;1,00;0,00;0,00;;;;0,00;0,00;0,00;0,00
RADL3;21,03;1,06;46,67;7,30;2,41;29,68;5,80;3,20;25,76;26,74;0,98;0,28;1,49;16,72;-4,83;1,40;15,64;5,16;17,10;0,33;0,67;1,61;17,66;16,92;135.001.320,78;2,88;0,45;0,57;34.690.530.000,00
RAIL3;16,69;;57,66;2,03;0,67;31,10;25,32;7,07;16,10;22,13;5,98;0,75;4,08;4,31;-0,88;2,94;3,53;1,16;5,00;0,33;0,67;0,16;10,92;;174.336.494,25;8,20;0,29;7,14;31.038.618.161,34
RAIZ4;6,14;0,62;38,07;3,40;0,60;5,30;2,62;1,39;20,15;29,89;9,74;1,65;0,53;10,28;-1,22;1,13;8,94;1,58;4,52;0,18;0,82;1,14;;;55.266.226,06;1,80;0,16;;63.564.408.231,76
RANI3;6,03;5,86;6,06;1,62;0,74;37,45;24,80;17,26;4,22;4,93;0,74;0,29;1,05;3,20;-1,22;2,45;26,82;12,22;18,60;0,46;0,54;0,71;6,30;248,89;7.635.397,47;3,72;1,00;0,02;1.540.321.410,00
RANI4;5,50;;5,52;1,48;0,67;37,45;24,80;17,26;3,84;4,93;0,74;0,29;0,95;2,92;-1,11;2,45;26,82;12,22;18,60;0,46;0,54;0,71;6,30;248,89;;3,72;1,00;0,02;1.540.321.410,00
RAPT3;12,16;5,35;3,88;1,59;0,39;26,02;18,42;12,53;2,64;3,88;1,41;0,85;0,49;1,44;-1,00;1,79;40,90;10,01;15,69;0,24;0,68;0,80;11,59;;169.380,17;7,69;3,14;0,01;3.766.710.795,52
RAPT4;11,07;5,92;3,51;1,44;0,35;26,02;18,42;12,53;2,39;3,88;1,41;0,85;0,44;1,30;-0,91;1,79;40,90;10,01;15,69;0,24;0,68;0,80;11,59;;30.178.093,00;7,69;3,14;0,01;3.766.710.795,52
RCSL3;3,88;;-453,53;-6,72;4,53;14,71;1,71;-1,19;315,52;165,10;-2,43;;5,40;66,69;-9,67;1,15;-1,48;-1,00;-2,12;-0,67;1,68;0,84;117,05;;21.317.357,92;-0,58;-0,01;6,38;155.801.045,10
RCSL4;1,16;;-135,94;-2,01;1,36;14,71;1,71;-1,19;94,58;165,10;-2,43;;1,62;19,99;-2,90;1,15;-1,48;-1,00;-2,12;-0,67;1,68;0,84;117,05;;1.412.982,75;-0,58;-0,01;1,91;155.801.045,10
RDNI3;9,16;0,11;20,80;0,64;0,22;25,49;2,25;5,06;46,87;102,98;56,32;0,77;1,05;0,90;-0,42;2,08;3,09;1,06;-0,22;0,34;0,65;0,21;-10,68;23,35;252.804,53;14,26;0,44;-0,05;399.180.648,96
RDOR3;40,67;3,27;56,40;5,72;1,60;24,55;18,29;7,46;22,99;26,83;3,87;0,96;4,21;4,79;-2,82;4,36;10,13;2,84;7,38;0,28;0,71;0,38;;;152.104.462,00;7,11;0,72;0,02;81.520.388.135,25
RECV3;19,63;;44,02;2,64;1,47;35,42;26,96;11,61;18,96;17,57;-1,43;-0,20;5,11;6,83;-2,52;2,08;6,00;3,35;8,23;0,56;0,44;0,29;;;14.005.518,36;7,44;0,45;;4.893.302.092,80
REDE3;6,85;14,27;9,70;3,90;0,60;25,20;20,31;10,18;4,86;7,43;2,57;2,06;0,99;7,94;-0,85;1,35;40,20;6,19;16,53;0,15;0,78;0,61;6,59;29,50;6.078,67;1,76;0,71;0,08;14.455.715.111,90
RENT3;53,59;0,83;20,25;5,43;1,85;40,72;27,79;17,98;13,10;15,45;2,34;0,97;3,64;25,96;-2,47;1,40;26,84;9,13;12,26;0,34;0,66;0,51;21,28;37,85;448.656.040,50;9,84;2,64;0,16;40.562.797.511,60
RLOG3;23,08;;82,76;4,26;0,23;34,71;29,67;1,85;5,17;12,09;6,92;5,71;1,53;1,49;-0,31;2,64;5,15;0,28;5,46;0,05;0,71;0,15;50,58;4,37;105.214.775,75;5,41;0,28;-2,42;10.691.215.482,28
RNEW11;6,80;;2,14;-0,30;0,09;4,73;-6,80;135,64;-42,73;-315,63;-272,90;;2,91;0,70;-0,17;1,43;-13,99;4,36;-0,71;-0,31;1,31;0,03;-29,67;-0,40;50.788,11;-22,70;3,17;-0,02;248.154.775,47
RNEW3;2,36;;2,25;-0,31;0,10;4,73;-6,80;135,64;-44,86;-315,63;-272,90;;3,05;0,73;-0,18;1,43;-13,99;4,36;-0,71;-0,31;1,31;0,03;-29,67;-0,40;176.213,81;-7,57;1,06;-0,02;248.154.775,47
RNEW4;2,20;;2,08;-0,29;0,09;4,73;-6,80;135,64;-41,47;-315,63;-272,90;;2,82;0,68;-0,16;1,43;-13,99;4,36;-0,71;-0,31;1,31;0,03;-29,67;-0,40;324.980,22;-7,57;1,06;-0,02;248.154.775,47
ROMI3;15,34;5,08;4,77;1,22;0,59;32,36;15,26;18,09;5,65;7,77;2,11;0,45;0,86;1,99;-1,47;1,98;25,62;12,39;13,67;0,48;0,52;0,68;9,91;106,61;15.696.403,53;12,53;3,21;0,04;1.124.942.363,48
RPAD3;5,82;;27,84;0,51;0,51;;;;28,15;31,67;-0,66;-0,01;;54,10;-0,52;3,82;1,84;1,83;1,82;1,00;0,00;0,00;-12,49;-17,95;7.100,89;12,29;0,23;-0,52;612.773.100,55
RPAD5;8,35;6,56;36,90;0,68;0,68;;;;37,31;31,67;-0,66;-0,01;;71,70;-0,69;3,82;1,84;1,83;1,82;1,00;0,00;0,00;-12,49;-17,95;57.117,80;12,29;0,23;-0,69;612.773.100,55
RPAD6;4,41;;19,49;0,36;0,36;;;;19,71;31,67;-0,66;-0,01;;37,87;-0,36;3,82;1,84;1,83;1,82;1,00;0,00;0,00;-12,49;-17,95;10.435,79;12,29;0,23;-0,36;612.773.100,55
RPMG3;2,59;;-0,71;-0,05;0,04;1,43;-11,74;-13,98;-0,85;-0,85;0,00;;0,10;-0,06;-0,66;0,56;-7,40;-6,08;6,21;-0,82;1,82;0,44;16,06;;52.269,28;-49,09;-3,63;0,02;175.998.235,40
RRRP3;35,41;;-35,50;3,93;1,96;55,99;30,41;-30,84;36,01;33,18;-2,96;-0,32;10,95;8,24;-3,18;2,64;-11,08;-5,52;5,68;0,50;0,48;0,18;;;91.685.874,94;9,00;-1,00;-0,11;7.192.054.269,00
RSID3;8,50;;0,87;-0,26;0,10;66,29;-336,75;163,45;-0,42;-2,08;-1,65;;1,42;-0,12;-0,16;0,29;-29,76;11,61;-17.486,04;-0,39;1,41;0,07;-42,64;;600.197,44;-32,77;9,75;0,00;145.803.364,50
RSUL3;0,00;;0,00;0,00;0,00;37,19;27,07;16,64;0,00;2,29;0,00;0,00;0,00;0,00;0,00;1,51;72,96;17,55;90,61;0,24;0,76;1,05;11,33;;;11,55;8,43;0,00;183.048.000,00
RSUL4;76,27;;9,05;6,60;1,59;37,19;27,07;16,64;5,56;2,29;0,00;0,00;1,51;10,36;-2,89;1,51;72,96;17,55;90,61;0,24;0,76;1,05;11,33;;248.834,31;11,55;8,43;0,09;183.048.000,00
SANB11;30,95;8,79;7,15;1,10;0,12;19,32;27,28;15,42;4,04;4,05;;;1,10;;-0,13;;15,39;1,72;;0,11;0,89;0,11;-2,12;10,66;76.493.993,14;28,15;4,33;1,01;116.452.187.222,03
SANB3;14,59;8,84;6,77;1,04;0,12;19,32;27,28;15,42;3,83;4,05;;;1,04;;-0,12;;15,39;1,72;;0,11;0,89;0,11;-2,12;10,66;1.202.983,47;14,08;2,17;0,95;116.452.187.222,03
SANB4;16,41;8,69;7,58;1,17;0,13;19,32;27,28;15,42;4,29;4,05;;;1,17;;-0,13;;15,39;1,72;;0,11;0,89;0,11;-2,12;10,66;1.632.051,86;14,08;2,17;1,07;116.452.187.222,03
SAPR11;18,76;5,80;5,00;0,75;0,40;60,97;36,72;22,48;3,06;4,67;1,61;0,39;1,12;7,60;-0,47;1,55;15,00;7,94;12,10;0,53;0,47;0,35;10,07;21,00;29.862.802,44;25,07;3,76;1,19;5.691.199.984,55
SAPR3;3,59;5,63;4,77;0,72;0,38;60,97;36,72;22,48;2,92;4,67;1,61;0,39;1,07;7,26;-0,44;1,55;15,00;7,94;12,10;0,53;0,47;0,35;10,07;21,00;1.773.070,86;5,01;0,75;1,14;5.691.199.984,55
SAPR4;3,76;5,88;5,02;0,75;0,40;60,97;36,72;22,48;3,08;4,67;1,61;0,39;1,13;7,64;-0,47;1,55;15,00;7,94;12,10;0,53;0,47;0,35;10,07;21,00;13.768.428,69;5,01;0,75;1,20;5.691.199.984,55
SBFG3;21,18;;22,91;2,34;0,72;44,56;6,43;4,96;17,67;23,64;6,14;0,81;1,14;3,09;-1,60;1,74;10,23;3,15;3,63;0,31;0,69;0,63;;;18.184.075,56;9,01;0,92;0,05;5.083.518.620,24
SBSP3;35,03;1,13;9,35;0,98;0,45;35,62;23,52;13,31;5,29;8,32;3,03;0,56;1,24;26,01;-0,52;1,15;10,49;4,84;7,96;0,46;0,54;0,36;8,73;36,81;87.240.005,03;35,85;3,76;0,08;24.039.042.092,73
SCAR3;39,10;0,93;47,67;1,45;0,73;80,43;56,75;18,06;15,17;22,69;7,52;0,72;8,61;7,49;-0,87;2,57;3,05;1,54;4,21;0,51;0,49;0,09;-6,59;-21,76;252.769,19;27,18;0,83;-1,08;2.279.469.354,12
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;10,68;1,97;8,06;0,94;0,43;53,66;22,86;12,67;4,47;4,70;0,26;0,05;1,02;5,43;-0,58;1,46;11,68;5,37;14,47;0,46;0,54;0,42;4,15;1,15;5.968.791,89;11,34;1,32;0,03;1.365.735.751,60
SEQL3;12,32;;916,28;2,77;0,87;18,28;3,32;0,13;35,63;45,42;10,00;0,78;1,18;15,80;-1,26;1,21;0,30;0,09;2,26;0,31;0,69;0,73;;;31.728.299,00;4,32;0,01;-6,60;1.660.624.508,19
SGPS3;4,79;;-2,02;0,23;0,07;35,09;9,99;-6,58;1,33;5,37;4,02;0,71;0,13;0,60;-0,14;1,36;-11,57;-3,64;8,55;0,31;0,69;0,55;-7,50;;411.911,94;20,46;-2,37;0,03;243.000.000,00
SHOW3;2,90;;-1,93;1,26;0,39;-72,28;-720,30;-840,52;-2,25;-1,50;0,76;-0,42;16,23;2,04;-0,99;1,46;-65,32;-20,22;-34,37;0,31;0,69;0,02;-40,82;;2.159.572,44;2,28;-1,49;-0,03;194.148.371,52
SHUL3;111,89;0,15;99,99;23,64;9,40;20,73;13,95;12,50;89,64;43,57;1,64;0,43;12,50;21,61;-28,89;2,82;23,64;9,41;10,66;0,40;0,60;0,75;10,16;32,97;62.944,50;4,73;1,12;0,68;9.350.890.645,18
SHUL4;7,94;2,35;7,10;1,68;0,67;20,73;13,95;12,50;6,37;43,57;1,64;0,43;0,89;1,54;-2,05;2,82;23,64;9,41;10,66;0,40;0,60;0,75;10,16;32,97;2.074.558,17;4,73;1,12;0,05;9.350.890.645,18
SIMH3;9,84;1,65;11,88;2,41;0,20;29,40;21,20;5,57;3,12;7,90;4,78;3,68;0,66;0,52;-0,41;4,09;20,24;1,68;6,02;0,08;0,86;0,30;10,36;71,29;24.047.646,64;4,07;0,82;0,08;8.195.425.779,97
SLCE3;44,81;2,38;8,91;2,64;0,74;36,32;31,13;19,01;5,44;6,77;1,28;0,62;1,69;7,88;-1,25;1,30;29,65;8,31;19,42;0,28;0,70;0,44;17,07;54,13;53.952.601,22;16,92;5,02;0,05;9.578.134.988,91
SLED3;9,42;;-0,08;-0,03;0,06;39,69;-214,76;-197,14;-0,08;-1,29;-1,24;;0,16;-0,22;-0,09;0,54;-37,60;-74,01;85,86;-1,97;2,97;0,38;-32,61;;59.968,68;-305,75;-114,97;0,00;11.366.892,98
SLED4;4,42;;-0,04;-0,01;0,03;39,69;-214,76;-197,14;-0,03;-1,29;-1,24;;0,07;-0,10;-0,04;0,54;-37,60;-74,01;85,86;-1,97;2,97;0,38;-32,61;;202.742,47;-305,75;-114,97;0,00;11.366.892,98
SMFT3;16,09;;-15,02;2,08;0,86;2,94;-25,67;-40,54;-23,72;-23,57;0,12;-0,01;6,09;3,96;-1,32;2,68;-13,85;-5,75;-5,85;0,42;0,58;0,14;18,59;;22.147.774,17;7,72;-1,07;0,89;9.403.326.315,56
SMLS3;22,40;17,98;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,10;4,21;18,78;-2,54;1,10;37,96;9,43;24,47;0,25;0,75;0,24;;;25.865.505,33;5,47;2,08;-0,33;2.781.160.547,20
SMTO3;36,43;6,43;12,37;3,22;1,03;39,91;32,00;20,47;7,91;10,76;2,84;1,16;2,53;9,41;-1,39;1,74;26,04;8,36;13,42;0,32;0,68;0,41;12,98;38,06;43.287.724,03;11,26;2,93;1,10;12.850.611.242,70
SNSY3;8,70;;-0,64;-0,05;0,15;19,11;-1,10;-14,71;-8,53;-27,75;-16,25;;0,09;-1,10;-0,36;0,82;-7,35;-22,97;0,63;-3,12;4,16;1,56;4,14;;4.695,50;-186,23;-13,70;0,02;90.553.442,40
SNSY5;4,72;;-0,34;-0,03;0,08;19,11;-1,10;-14,71;-4,63;-27,75;-16,25;;0,05;-0,59;-0,20;0,82;-7,35;-22,97;0,63;-3,12;4,16;1,56;4,14;;20.126,43;-186,23;-13,70;0,01;90.553.442,40
SNSY6;13,33;;-0,97;-0,07;0,22;19,11;-1,10;-14,71;-13,06;-27,75;-16,25;;0,14;-1,68;-0,55;0,82;-7,35;-22,97;0,63;-3,12;4,16;1,56;4,14;;;-186,23;-13,70;0,04;90.553.442,40
SOJA3;13,97;;12,07;2,61;1,65;20,24;17,16;15,53;10,93;10,16;-0,81;-0,19;1,88;3,35;-8,62;2,57;21,64;13,67;19,47;0,63;0,37;0,88;;;4.528.417,19;5,35;1,16;0,11;1.643.478.773,78
SOMA3;11,97;;31,79;1,31;0,98;63,92;9,35;14,38;48,92;52,48;3,76;0,10;4,57;5,92;-1,38;2,40;4,11;3,09;0,93;0,75;0,25;0,22;;;54.070.491,31;9,14;0,38;-0,06;9.330.646.264,97
SOND3;40,20;19,26;14,33;1,63;1,14;31,30;8,11;9,61;16,96;11,17;-4,51;-0,43;1,38;3,47;-2,40;2,68;11,40;7,95;7,70;0,70;0,30;0,83;-10,40;;4.020,00;24,62;2,81;-0,21;91.294.669,00
SOND5;36,01;23,65;12,83;1,46;1,02;31,30;8,11;9,61;15,19;11,17;-4,51;-0,43;1,23;3,11;-2,15;2,68;11,40;7,95;7,70;0,70;0,30;0,83;-10,40;;7.202,00;24,62;2,81;-0,19;91.294.669,00
SOND6;35,51;23,99;12,65;1,44;1,01;31,30;8,11;9,61;14,98;11,17;-4,51;-0,43;1,22;3,06;-2,12;2,68;11,40;7,95;7,70;0,70;0,30;0,83;-10,40;;14.303,00;24,62;2,81;-0,19;91.294.669,00
SPRT3B;76,40;;-477,85;-139,83;33.267,35;;;;-575,99;-575,99;0,00;;;-139,24;-33.267,35;0,00;-29,26;-6.961,86;24,28;-237,92;238,92;0,00;;;;-0,55;-0,16;16,96;370.531.748,80
SQIA3;16,14;0,12;120,46;1,76;1,13;38,92;6,63;3,79;68,97;50,06;-18,56;-0,47;4,57;2,47;-2,44;6,56;1,46;0,93;1,82;0,64;0,36;0,25;22,77;3,53;16.305.015,14;9,08;0,13;0,26;1.396.518.515,36
STBP3;6,02;4,33;30,11;2,29;1,09;37,70;22,83;12,75;16,81;14,23;-2,33;-0,32;3,84;5,61;-1,53;3,17;7,61;3,63;8,06;0,48;0,52;0,28;-0,73;;31.355.299,14;2,62;0,20;-0,03;5.107.956.867,84
STKF3;0,00;;0,00;0,00;0,00;61,06;41,18;28,16;0,00;1,33;1,33;0,14;0,00;0,00;0,00;1,94;7,40;4,52;6,63;0,61;0,39;0,16;14,50;;;5,91;0,44;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;25,38;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00
SULA11;23,26;0,97;24,39;1,20;0,36;7,96;0,19;2,11;268,44;-120,16;-389,18;-1,74;0,51;0,98;-1,08;2,19;4,92;1,47;-1,56;0,30;0,70;0,70;4,99;-11,17;83.365.261,36;19,39;0,95;-0,29;9.930.696.149,73
SULA3;7,77;0,96;24,56;1,21;0,36;7,96;0,19;2,11;270,28;-120,16;-389,18;-1,74;0,52;0,99;-1,09;2,19;4,92;1,47;-1,56;0,30;0,70;0,70;4,99;-11,17;116.545,64;6,46;0,32;-0,29;9.930.696.149,73
SULA4;7,77;0,97;24,28;1,19;0,36;7,96;0,19;2,11;267,17;-120,16;-389,18;-1,74;0,51;0,98;-1,08;2,19;4,92;1,47;-1,56;0,30;0,70;0,70;4,99;-11,17;182.344,33;6,46;0,32;-0,28;9.930.696.149,73
SUZB3;58,40;1,27;6,49;5,87;0,70;47,20;42,22;32,61;5,01;8,70;3,69;4,32;2,12;3,83;-0,95;3,32;90,48;10,79;13,98;0,12;0,88;0,33;24,40;;331.984.474,92;9,93;8,99;-0,04;79.361.666.947,20
SYNE3;6,85;120,35;35,04;0,63;0,20;60,53;53,95;6,25;4,06;8,09;4,05;0,63;2,19;1,09;-0,27;4,35;1,81;0,58;4,84;0,32;0,42;0,09;4,82;5,13;26.823.406,83;10,82;0,20;-0,55;1.042.561.559,35
TAEE11;38,05;11,84;5,00;1,89;0,81;79,23;100,22;66,67;3,33;4,87;1,53;0,87;3,34;10,22;-0,96;2,04;37,82;16,27;24,41;0,43;0,57;0,24;18,22;23,56;82.754.021,17;20,10;7,60;0,08;13.139.188.312,98
TAEE3;12,69;11,83;5,01;1,89;0,81;79,23;100,22;66,67;3,33;4,87;1,53;0,87;3,34;10,23;-0,97;2,04;37,82;16,27;24,41;0,43;0,57;0,24;18,22;23,56;1.131.681,25;6,70;2,53;0,08;13.139.188.312,98
TAEE4;12,66;11,86;4,99;1,89;0,81;79,23;100,22;66,67;3,32;4,87;1,53;0,87;3,33;10,20;-0,96;2,04;37,82;16,27;24,41;0,43;0,57;0,24;18,22;23,56;2.388.993,50;6,70;2,53;0,08;13.139.188.312,98
TASA3;21,57;;3,56;4,18;1,35;47,00;33,09;28,53;3,07;3,46;0,42;0,57;1,01;3,90;-4,23;2,03;117,57;37,98;65,85;0,32;0,68;1,33;16,57;;932.169,83;5,14;6,04;0,00;2.496.138.215,38
TASA4;21,25;;3,51;4,12;1,33;47,00;33,09;28,53;3,02;3,46;0,42;0,57;1,00;3,85;-4,17;2,03;117,57;37,98;65,85;0,32;0,68;1,33;16,57;;21.690.293,33;5,14;6,04;0,00;2.496.138.215,38
TCNO3;1,69;;-57,38;39,26;0,05;;;;-133,19;-518,87;-400,36;118,00;;-0,11;-0,06;0,29;-68,42;-0,08;-0,25;0,00;1,00;0,00;;;153.109,58;0,04;-0,03;0,69;9.955.444,86
